rodada,time1,placar_time1,placar_time2,time2,data_inicio,data_fim
1ª,Flamengo,3.0,0.0,Coritiba,2023-04-15,2023-04-17
1ª,Botafogo,2.0,1.0,São Paulo,2023-04-15,2023-04-17
1ª,Palmeiras,2.0,1.0,Cuiabá,2023-04-15,2023-04-17
1ª,Corinthians,2.0,1.0,Cruzeiro,2023-04-15,2023-04-17
1ª,Bragantino,2.0,1.0,Bahia,2023-04-15,2023-04-17
1ª,Atlético-MG,1.0,2.0,Vasco,2023-04-15,2023-04-17
1ª,Grêmio,1.0,0.0,Santos,2023-04-15,2023-04-17
1ª,Athletico-PR,2.0,0.0,Goiás,2023-04-15,2023-04-17
1ª,Fortaleza,1.0,1.0,Internacional,2023-04-15,2023-04-17
1ª,América-MG,0.0,3.0,Fluminense,2023-04-15,2023-04-17
2ª,Fluminense,2.0,0.0,Athletico-PR,2023-04-22,2023-04-24
2ª,Vasco,2.0,2.0,Palmeiras,2023-04-22,2023-04-24
2ª,São Paulo,3.0,0.0,América-MG,2023-04-22,2023-04-24
2ª,Santos,0.0,0.0,Atlético-MG,2023-04-22,2023-04-24
2ª,Goiás,3.0,1.0,Corinthians,2023-04-22,2023-04-24
2ª,Cruzeiro,1.0,0.0,Grêmio,2023-04-22,2023-04-24
2ª,Internacional,2.0,1.0,Flamengo,2023-04-22,2023-04-24
2ª,Coritiba,0.0,3.0,Fortaleza,2023-04-22,2023-04-24
2ª,Bahia,1.0,2.0,Botafogo,2023-04-22,2023-04-24
2ª,Cuiabá,1.0,1.0,Bragantino,2023-04-22,2023-04-24
3ª,Flamengo,2.0,3.0,Botafogo,2023-04-29,2023-05-01
3ª,Vasco,0.0,1.0,Bahia,2023-04-29,2023-05-01
3ª,Palmeiras,2.0,1.0,Corinthians,2023-04-29,2023-05-01
3ª,Santos,3.0,2.0,América-MG,2023-04-29,2023-05-01
3ª,Bragantino,0.0,3.0,Cruzeiro,2023-04-29,2023-05-01
3ª,Atlético-MG,2.0,1.0,Athletico-PR,2023-04-29,2023-05-01
3ª,Internacional,1.0,0.0,Goiás,2023-04-29,2023-05-01
3ª,Coritiba,1.0,1.0,São Paulo,2023-04-29,2023-05-01
3ª,Fortaleza,4.0,2.0,Fluminense,2023-04-29,2023-05-01
3ª,Cuiabá,1.0,2.0,Grêmio,2023-04-29,2023-05-01
4ª,Fluminense,1.0,1.0,Vasco,2023-05-06,2023-05-08
4ª,Botafogo,2.0,0.0,Atlético-MG,2023-05-06,2023-05-08
4ª,São Paulo,2.0,0.0,Internacional,2023-05-06,2023-05-08
4ª,Corinthians,1.0,1.0,Fortaleza,2023-05-06,2023-05-08
4ª,Goiás,0.0,5.0,Palmeiras,2023-05-06,2023-05-08
4ª,Cruzeiro,2.0,1.0,Santos,2023-05-06,2023-05-08
4ª,Grêmio,3.0,3.0,Bragantino,2023-05-06,2023-05-08
4ª,Athletico-PR,2.0,1.0,Flamengo,2023-05-06,2023-05-08
4ª,Bahia,3.0,1.0,Coritiba,2023-05-06,2023-05-08
4ª,América-MG,1.0,2.0,Cuiabá,2023-05-06,2023-05-08
5ª,Flamengo,2.0,0.0,Goiás,2023-05-10,2023-05-11
5ª,Botafogo,3.0,0.0,Corinthians,2023-05-10,2023-05-11
5ª,Palmeiras,4.0,1.0,Grêmio,2023-05-10,2023-05-11
5ª,Santos,3.0,0.0,Bahia,2023-05-10,2023-05-11
5ª,Bragantino,2.0,2.0,América-MG,2023-05-10,2023-05-11
5ª,Cruzeiro,0.0,2.0,Fluminense,2023-05-10,2023-05-11
